
20210111 22:48:27********* De systemlog file is geschoond **********
20210111 22:48:27;display_systemlog;mwage;INFO;De systemlog file is geschoond. Inhoud is verwijderd.
20210111 22:48:33;mijn_verlofuren;mwage;INFO;Overzicht opgenomen verlofuren per medewerker in een jaar is uitgevoerd
20210111 22:48:38;beginsaldo;mwage;INFO;De verlofuren worden geinitieerd voor het jaar 2021
20210111 22:48:38;beginsaldo;mwage;DEBUG;Wegschrijven beginsaldo voor mwage
20210111 22:48:38;beginsaldo;mwage;DEBUG;mwage - 2021 - MIR001VL - 0 - 2021-01-01
20210111 22:48:38;beginsaldo;mwage;DEBUG;
20210111 22:48:38;beginsaldo;mwage;DEBUG;Wegschrijven beginsaldo voor demo
20210111 22:48:38;beginsaldo;mwage;DEBUG;demo - 2021 - MIR001VL - 0 - 2021-01-01
20210111 22:48:38;beginsaldo;mwage;DEBUG;
20210111 22:48:38;beginsaldo;mwage;DEBUG;Wegschrijven beginsaldo voor apaters
20210111 22:48:38;beginsaldo;mwage;DEBUG;apaters - 2021 - MIR001VL - 0 - 2021-01-01
20210111 22:48:38;beginsaldo;mwage;DEBUG;
20210111 22:48:38;beginsaldo;mwage;DEBUG;Wegschrijven beginsaldo voor rlans
20210111 22:48:38;beginsaldo;mwage;DEBUG;rlans - 2021 - MIR001VL - 0 - 2021-01-01
20210111 22:48:38;beginsaldo;mwage;DEBUG;
20210111 22:48:38;beginsaldo;mwage;DEBUG;Wegschrijven beginsaldo voor mjansen
20210111 22:48:38;beginsaldo;mwage;DEBUG;mjansen - 2021 - MIR001VL - 0 - 2021-01-01
20210111 22:48:38;beginsaldo;mwage;DEBUG;
20210111 22:48:38;beginsaldo;mwage;DEBUG;Wegschrijven beginsaldo voor mklinkenberg
20210111 22:48:38;beginsaldo;mwage;DEBUG;mklinkenberg - 2021 - MIR001VL - 0 - 2021-01-01
20210111 22:48:38;beginsaldo;mwage;DEBUG;
20210111 22:48:38;beginsaldo;mwage;DEBUG;Wegschrijven beginsaldo voor demo3
20210111 22:48:38;beginsaldo;mwage;DEBUG;demo3 - 2021 - MIR001VL - 0 - 2021-01-01
20210111 22:48:38;beginsaldo;mwage;DEBUG;
20210111 22:48:38;beginsaldo;mwage;DEBUG;Wegschrijven beginsaldo voor mnotmeijer
20210111 22:48:38;beginsaldo;mwage;DEBUG;mnotmeijer - 2021 - MIR001VL - 0 - 2021-01-01
20210111 22:48:38;beginsaldo;mwage;DEBUG;
20210111 22:48:38;beginsaldo;mwage;DEBUG;Wegschrijven beginsaldo voor demo2
20210111 22:48:38;beginsaldo;mwage;DEBUG;demo2 - 2021 - MIR001VL - 0 - 2021-01-01
20210111 22:48:38;beginsaldo;mwage;DEBUG;
20210112 19:55:58;login;mwage;INFO;User mwage is succesvol ingelogd. Maakt gebruik van Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 Address ::1
20210112 19:57:08;users;mwage;INFO;User demo is succesvol verwijderd uit tabel users
20210112 19:57:08;users;mwage;INFO;User demo is succesvol verwijderd uit tabel uren
20210112 19:57:08;users;mwage;INFO;User demo is succesvol verwijderd uit tabel approvals
20210112 19:57:08;users;mwage;INFO;User demo is succesvol verwijderd uit tabel beginsaldo
20210112 19:57:16;users;mwage;INFO;User demo3 is succesvol verwijderd uit tabel users
20210112 19:57:16;users;mwage;INFO;User demo3 is succesvol verwijderd uit tabel uren
20210112 19:57:16;users;mwage;INFO;User demo3 is succesvol verwijderd uit tabel approvals
20210112 19:57:16;users;mwage;INFO;User demo3 is succesvol verwijderd uit tabel beginsaldo
20210112 19:57:23;users;mwage;INFO;User demo2 is succesvol verwijderd uit tabel users
20210112 19:57:23;users;mwage;INFO;User demo2 is succesvol verwijderd uit tabel uren
20210112 19:57:23;users;mwage;INFO;User demo2 is succesvol verwijderd uit tabel approvals
20210112 19:57:23;users;mwage;INFO;User demo2 is succesvol verwijderd uit tabel beginsaldo
20210112 19:57:31;users;mwage;INFO;User apaters is succesvol verwijderd uit tabel users
20210112 19:57:31;users;mwage;INFO;User apaters is succesvol verwijderd uit tabel uren
20210112 19:57:31;users;mwage;INFO;User apaters is succesvol verwijderd uit tabel approvals
20210112 19:57:31;users;mwage;INFO;User apaters is succesvol verwijderd uit tabel beginsaldo
20210112 19:57:38;users;mwage;INFO;User mnotmeijer is succesvol verwijderd uit tabel users
20210112 19:57:38;users;mwage;INFO;User mnotmeijer is succesvol verwijderd uit tabel uren
20210112 19:57:38;users;mwage;INFO;User mnotmeijer is succesvol verwijderd uit tabel approvals
20210112 19:57:38;users;mwage;INFO;User mnotmeijer is succesvol verwijderd uit tabel beginsaldo
20210112 19:57:45;users;mwage;INFO;User mklinkenberg is succesvol verwijderd uit tabel users
20210112 19:57:45;users;mwage;INFO;User mklinkenberg is succesvol verwijderd uit tabel uren
20210112 19:57:45;users;mwage;INFO;User mklinkenberg is succesvol verwijderd uit tabel approvals
20210112 19:57:45;users;mwage;INFO;User mklinkenberg is succesvol verwijderd uit tabel beginsaldo
20210112 19:57:56;users;mwage;INFO;User abredze is succesvol verwijderd uit tabel users
20210112 19:57:56;users;mwage;INFO;User abredze is succesvol verwijderd uit tabel uren
20210112 19:57:56;users;mwage;INFO;User abredze is succesvol verwijderd uit tabel approvals
20210112 19:57:56;users;mwage;INFO;User abredze is succesvol verwijderd uit tabel beginsaldo
20210112 19:59:15;users;mwage;INFO;De query voor updaten user is succesvol uitgevoerd voor user rlans
20210112 20:07:38;add_soortuur;mwage;INFO;Soortuur MIR000UU (Gewerkte uren) is succesvol gecreeerd
20210112 20:08:17;add_soortuur;mwage;INFO;Soortuur MIR001VL (Opgenomen verlofuren) is succesvol gecreeerd
20210112 20:09:54;add_soortuur;mwage;INFO;Soortuur MIR003FD (Erkende officiele feestdag) is succesvol gecreeerd
20210112 20:11:03;uren;mwage;INFO;Records zijn toegevoegd voor week 2020-52 ivm updaten van de betreffende week
20210112 20:11:37;uren;mwage;INFO;Records zijn toegevoegd voor week 2020-53 ivm updaten van de betreffende week
20210112 20:12:01;uren;mwage;INFO;Records zijn toegevoegd voor week 2021-01 ivm updaten van de betreffende week
20210112 20:13:55;mijn_verlofuren;mwage;INFO;Overzicht opgenomen verlofuren per medewerker in een jaar is uitgevoerd
20210112 20:14:11;beginsaldo;mwage;INFO;Records zijn ge-update over jaar 2021
20210112 20:14:27;mijn_verlofuren;mwage;INFO;Overzicht opgenomen verlofuren per medewerker in een jaar is uitgevoerd
20210112 20:14:38;mijn_verlofuren;mwage;INFO;Overzicht opgenomen verlofuren per medewerker in een jaar is uitgevoerd
20210112 20:14:57;verlofuren_medewerker;mwage;INFO;Overzicht opgenomen verlofuren per medewerker in een jaar is uitgevoerd
20210112 20:15:02;verlofuren_medewerker;mwage;INFO;Overzicht opgenomen verlofuren per medewerker in een jaar is uitgevoerd
20210112 20:15:38;uren;mwage;INFO;Records zijn toegevoegd voor week 2021-02 ivm updaten van de betreffende week
20210112 20:15:45;verlofuren_medewerker;mwage;INFO;Overzicht opgenomen verlofuren per medewerker in een jaar is uitgevoerd
20210112 20:17:00;beginsaldo;mwage;INFO;De verlofuren worden geinitieerd voor het jaar 2021
20210112 20:17:00;beginsaldo;mwage;DEBUG;Wegschrijven beginsaldo voor mwage
20210112 20:17:00;beginsaldo;mwage;DEBUG;mwage - 2021 - MIR001VL - 0 - 2021-01-01
20210112 20:17:00;beginsaldo;mwage;DEBUG;
20210112 20:17:00;beginsaldo;mwage;DEBUG;Wegschrijven beginsaldo voor mjansen
20210112 20:17:00;beginsaldo;mwage;DEBUG;mjansen - 2021 - MIR001VL - 0 - 2021-01-01
20210112 20:17:00;beginsaldo;mwage;DEBUG;
20210112 20:17:06;verlofuren_medewerker;mwage;INFO;Overzicht opgenomen verlofuren per medewerker in een jaar is uitgevoerd
20210112 20:22:46;verlofuren_medewerker;mwage;INFO;Overzicht opgenomen verlofuren per medewerker in een jaar is uitgevoerd
20210112 20:24:11;beginsaldo;mwage;INFO;De verlofuren worden geinitieerd voor het jaar 2021
20210112 20:24:11;beginsaldo;mwage;DEBUG;Wegschrijven beginsaldo voor mwage
20210112 20:24:11;beginsaldo;mwage;DEBUG;mwage - 2021 - MIR001VL - 0 - 2021-01-01
20210112 20:24:11;beginsaldo;mwage;DEBUG;
20210112 20:24:11;beginsaldo;mwage;DEBUG;Wegschrijven beginsaldo voor mjansen
20210112 20:24:11;beginsaldo;mwage;DEBUG;mjansen - 2021 - MIR001VL - 0 - 2021-01-01
20210112 20:24:11;beginsaldo;mwage;DEBUG;
20210112 20:24:13;beginsaldo;mwage;INFO;Records zijn ge-update over jaar 2021
20210112 20:24:18;verlofuren_medewerker;mwage;INFO;Overzicht opgenomen verlofuren per medewerker in een jaar is uitgevoerd
20210112 20:30:02;mijn_verlofuren;mwage;INFO;Overzicht opgenomen verlofuren per medewerker in een jaar is uitgevoerd
20210112 20:30:03;rpt_uren_urensoort;mwage;INFO;Overzicht totaal aantal uren per urensoort in een jaar is uitgevoerd
20210112 20:30:39;mijn_verlofuren;mwage;INFO;Overzicht opgenomen verlofuren per medewerker in een jaar is uitgevoerd
20210112 20:31:05;soortuur;mwage;INFO;De code GYM05LES is succesvol verwijderd
